cae --md5 basic
reg info read: 0xc540f81c, 0x014036c9
reg info write: 0xc540f808, 0x00000000
reg info read: 0xc540f818, 0x00000020
reg info write: 0xc540f808, 0x00000000
reg info write: 0xc540f800, 0x00000000
reg info write: 0xc540f804, 0x00000000
reg info write: 0xc540f810, 0x00000000
reg info write: 0xc540f80c, 0x00000000
reg info read: 0xc540e01c, 0x014036c9
reg info write: 0xc540e008, 0x00000000
reg info read: 0xc540e018, 0x00000008
reg info write: 0xc540e008, 0x00000000
reg info write: 0xc540e000, 0x00000000
reg info write: 0xc540e004, 0x00000000
reg info write: 0xc540e010, 0x00000000
reg info write: 0xc540e00c, 0x00000000
reg info read: 0xc540f800, 0x00000000
reg info write: 0xc540f800, 0x00000000
reg info read: 0xc540f804, 0x00000000
reg info write: 0xc540f804, 0x00000000
reg info write: 0xc540f810, 0x00000001
reg info read: 0xc540f800, 0x00000000
reg info write: 0xc540f800, 0x00000000
reg info read: 0xc540f804, 0x00000000
reg info write: 0xc540f804, 0x00000000
reg info write: 0xc540f810, 0x00000002
reg info read: 0xc540f800, 0x00000000
reg info write: 0xc540f800, 0x00000000
reg info read: 0xc540f804, 0x00000000
reg info write: 0xc540f804, 0x00000000
reg info write: 0xc540f810, 0x00000010
reg info read: 0xc540e000, 0x00000000
reg info write: 0xc540e000, 0x00000000
reg info read: 0xc540e004, 0x00000000
reg info write: 0xc540e004, 0x00000000
reg info write: 0xc540e010, 0x00000001
reg info read: 0xc540e000, 0x00000000
reg info write: 0xc540e000, 0x00000000
reg info read: 0xc540e004, 0x00000000
reg info write: 0xc540e004, 0x00000000
reg info write: 0xc540e010, 0x00000002
reg info read: 0xc540e000, 0x00000000
reg info write: 0xc540e000, 0x00000000
reg info read: 0xc540e004, 0x00000000
reg info write: 0xc540e004, 0x00000000
reg info write: 0xc540e010, 0x00000004
reg info read: 0xc540e000, 0x00000000
reg info write: 0xc540e000, 0x00000000
reg info read: 0xc540e004, 0x00000000
reg info write: 0xc540e004, 0x00000000
reg info write: 0xc540e010, 0x00000008
reg info read: 0xc540e000, 0x00000000
reg info write: 0xc540e000, 0x00000000
reg info read: 0xc540e004, 0x00000000
reg info write: 0xc540e004, 0x00000000
reg info write: 0xc540e010, 0x00000010
reg info read: 0xc540e000, 0x00000000
reg info write: 0xc540e000, 0x00000000
reg info read: 0xc540e004, 0x00000000
reg info write: 0xc540e004, 0x00000000
reg info write: 0xc540e010, 0x00000020
reg info read: 0xc540e000, 0x00000000
reg info write: 0xc540e000, 0x00000000
reg info read: 0xc540e004, 0x00000000
reg info write: 0xc540e004, 0x00000000
reg info write: 0xc540e010, 0x00000040
reg info read: 0xc540e000, 0x00000000
reg info write: 0xc540e000, 0x00000000
reg info read: 0xc540e004, 0x00000000
reg info write: 0xc540e004, 0x00000000
reg info write: 0xc540e010, 0x00000080
reg info read: 0xc540e000, 0x00000000
reg info write: 0xc540e000, 0x00000000
reg info read: 0xc540e004, 0x00000000
reg info write: 0xc540e004, 0x00000000
reg info write: 0xc540e010, 0x00000100
reg info read: 0xc540e000, 0x00000000
reg info write: 0xc540e000, 0x00000000
reg info read: 0xc540e004, 0x00000000
reg info write: 0xc540e004, 0x00000000
reg info write: 0xc540e010, 0x00000200
reg info read: 0xc540e000, 0x00000000
reg info write: 0xc540e000, 0x00000000
reg info read: 0xc540e004, 0x00000000
reg info write: 0xc540e004, 0x00000000
reg info write: 0xc540e010, 0x00000400
reg info read: 0xc540e000, 0x00000000
reg info write: 0xc540e000, 0x00000000
reg info read: 0xc540e004, 0x00000000
reg info write: 0xc540e004, 0x00000000
reg info write: 0xc540e010, 0x00000800
reg info read: 0xc540e000, 0x00000000
reg info write: 0xc540e000, 0x00000000
reg info read: 0xc540e004, 0x00000000
reg info write: 0xc540e004, 0x00000000
reg info write: 0xc540e010, 0x00001000
reg info read: 0xc540e000, 0x00000000
reg info write: 0xc540e000, 0x00000000
reg info read: 0xc540e004, 0x00000000
reg info write: 0xc540e004, 0x00000000
reg info write: 0xc540e010, 0x00002000
reg info read: 0xc540e000, 0x00000000
reg info write: 0xc540e000, 0x00000000
reg info read: 0xc540e004, 0x00000000
reg info write: 0xc540e004, 0x00000000
reg info write: 0xc540e010, 0x00004000
reg info read: 0xc540e000, 0x00000000
reg info write: 0xc540e000, 0x00000000
reg info read: 0xc540e004, 0x00000000
reg info write: 0xc540e004, 0x00000000
reg info write: 0xc540e010, 0x00008000
reg info read: 0xc540e000, 0x00000000
reg info write: 0xc540e000, 0x00000000
reg info read: 0xc540e004, 0x00000000
reg info write: 0xc540e004, 0x00000000
reg info write: 0xc540e010, 0x00010000
reg info read: 0xc540e000, 0x00000000
reg info write: 0xc540e000, 0x00000000
reg info read: 0xc540e004, 0x00000000
reg info write: 0xc540e004, 0x00000000
reg info write: 0xc540e010, 0x00020000
reg info read: 0xc540e000, 0x00000000
reg info write: 0xc540e000, 0x00000000
reg info read: 0xc540e004, 0x00000000
reg info write: 0xc540e004, 0x00000000
reg info write: 0xc540e010, 0x00040000
reg info read: 0xc540e000, 0x00000000
reg info write: 0xc540e000, 0x00000000
reg info read: 0xc540e004, 0x00000000
reg info write: 0xc540e004, 0x00000000
reg info write: 0xc540e010, 0x00080000
reg info read: 0xc540e000, 0x00000000
reg info write: 0xc540e000, 0x00000000
reg info read: 0xc540e004, 0x00000000
reg info write: 0xc540e004, 0x00000000
reg info write: 0xc540e010, 0x00100000
reg info read: 0xc540e000, 0x00000000
reg info write: 0xc540e000, 0x00000000
reg info read: 0xc540e004, 0x00000000
reg info write: 0xc540e004, 0x00000000
reg info write: 0xc540e010, 0x00200000
reg info read: 0xc540e000, 0x00000000
reg info write: 0xc540e000, 0x00000000
reg info read: 0xc540e004, 0x00000000
reg info write: 0xc540e004, 0x00000000
reg info write: 0xc540e010, 0x00400000
reg info read: 0xc540e000, 0x00000000
reg info write: 0xc540e000, 0x00000000
reg info read: 0xc540e004, 0x00000000
reg info write: 0xc540e004, 0x00000000
reg info write: 0xc540e010, 0x00800000
reg info read: 0xc540f800, 0x00000000
reg info write: 0xc540f800, 0x00000000
reg info read: 0xc540f804, 0x00000000
reg info write: 0xc540f804, 0x00000000
reg info write: 0xc540f810, 0x00010000
reg info write: 0xc540f80c, 0x00010000
reg info write: 0xc540f200, 0x80000000
reg info write: 0xc540f000, 0x00000000
reg info write: 0xc540f010, 0x00000000
reg info write: 0xc540f014, 0x00000000
reg info write: 0xc540f018, 0x00000000
reg info write: 0xc540f01c, 0x00000000
reg info write: 0xc540f600, 0x80000000
reg info write: 0xc540f400, 0x00008000
reg info write: 0xc540f410, 0x00000000
reg info write: 0xc540f414, 0x00000000
reg info write: 0xc540f418, 0x00000000
reg info write: 0xc540f41c, 0x00000000
reg info write: 0xc5410000, 0x00000000
reg info write: 0xc5410100, 0x00000000
reg info write: 0xc5411c00, 0x00000000
reg info write: 0xc5411d00, 0x00000000
reg info write: 0xc5411000, 0x00004004
reg info read: 0xc540f204, 0x0000f000
reg info read: 0xc540f604, 0x0000f000
reg info write: 0xc540f200, 0x00000000
reg info write: 0xc540f600, 0x00000000
reg info read: 0xc540fffc, 0x027035ca
reg info read: 0xc540fff8, 0x80a35514
reg info read: 0xc54113fc, 0x04339f60
reg info read: 0xc54113f8, 0x7fc1fc00
reg info read: 0xc541fffc, 0x02319e61
reg info read: 0xc541fff8, 0x00074751
reg info read: 0xc540fffc, 0x027035ca
reg info write: 0xc540f010, 0x00008f8f
reg info read: 0xc540f010, 0x00008f8f
reg info write: 0xc540f010, 0x00000000
reg info read: 0xc540f010, 0x00000000
reg info write: 0xc5411c00, 0x000000ff
reg info read: 0xc5411c00, 0x000000ff
reg info write: 0xc5411c00, 0x00000000
reg info read: 0xc5411c00, 0x00000000
reg info read: 0xc5411008, 0x00000235
reg info write: 0xc5411008, 0x0000003f
reg info read: 0xc5411008, 0x0000003f
reg info write: 0xc5411008, 0x00000000
reg info read: 0xc5411008, 0x00000000
reg info write: 0xc5411008, 0x00000235
reg info read: 0xc541fffc, 0x02319e61
